1       10 0 0 EGNI Skegness
100   20.12   3   0 0.00 0 0 0 10   53.17319272  000.31949323    0.00    0.00 0  0 0 0 28   53.17140494  000.33074647    0.00    0.00 0  0 0 0
100   20.12   3   0 0.00 0 0 0 3    53.17001256  000.32773217    0.00    0.00 0  0 0 0 21   53.17774881  000.33550210    0.00    0.00 0  0 0 0
110   3 0.00   0.00 Grass
111  53.17779270  000.33537203 
112  53.17777902  000.33493819  53.17781038  000.33481203 
112  53.17789754  000.33448286  53.17792638  000.33438047 
112  53.17800198  000.33441194  53.17804371  000.33444471 
111  53.17844179  000.33479455 
112  53.17867703  000.33399151  53.17872063  000.33383384 
112  53.17830978  000.33324715  53.17805511  000.33330761 
111  53.17789476  000.33336238 
111  53.17788385  000.33341480 
111  53.17800579  000.33351365 
113  53.17755930  000.33513897 
130 Airport Boundary 35
111  53.17295538  000.31909077 
111  53.17233974  000.32302340 
111  53.17220293  000.32348864 
111  53.17206613  000.32410310 
111  53.17140313  000.32890467 
111  53.17013263  000.32763152 
111  53.17006070  000.32758229 
111  53.17000169  000.32759767 
111  53.16997033  000.32767767 
111  53.16995189  000.32781611 
111  53.16997402  000.32792379 
111  53.17002382  000.32799148 
111  53.17134799  000.32932059 
111  53.17113406  000.33068355 
111  53.17163938  000.33087738 
111  53.17180721  000.32982208 
111  53.17184594  000.32979747 
111  53.17696574  000.33497187 
111  53.17681658  000.33538815 
111  53.17689226  000.33579074 
111  53.17708254  000.33612959 
111  53.17830352  000.33733843 
111  53.17850499  000.33713938 
111  53.17891020  000.33713155 
111  53.17925174  000.33717682 
111  53.17950414  000.33692466 
111  53.18008499  000.33363342 
111  53.18006123  000.33347517 
111  53.17896166  000.33251117 
111  53.17880097  000.33316736 
111  53.17850679  000.33317965 
111  53.17833306  000.33316755 
111  53.17784053  000.33330130 
111  53.17785311  000.33339532 
111  53.17800579  000.33351365 
111  53.17757830  000.33506866 
111  53.17188418  000.32935110 
113  53.17340016  000.31969808 
14   53.17819564  000.33535483    9 0 Tower Viewpoint
15   53.17859668  000.33397112 186.04 Grass Parking
19   53.17813072  000.33530216 1 WS
1       45 1 0 EGCG Strubby Heliport [H]
100   17.07   1   0 0.00 0 0 0 08   53.31013610  000.16699271    0.00    0.00 0  0 0 0 26   53.31176363  000.17893787    0.00    0.00 0  0 0 0
100   39.93   3   0 0.00 0 0 0 08R  53.30796462  000.16807618    0.00    0.00 0  0 0 0 26L  53.30919692  000.17731281    0.00    0.00 0  0 0 0
110   2 0.00   0.00 New Taxiway 34
111  53.31072026  000.17071133 
111  53.31077562  000.17056229 
111  53.31072912  000.17020024 
113  53.31063938  000.17011401 
110   2 0.00   0.00 New Taxiway 33
111  53.31015134  000.16767390 
111  53.31006613  000.16790621 
111  53.30990626  000.16773991 
111  53.30986173  000.16737826 
111  53.30997358  000.16714923 
111  53.31009271  000.16723849 
111  53.31006341  000.16703196 
111  53.30978678  000.16716697 
111  53.30987660  000.16797404 
111  53.30999394  000.16810551 
111  53.30992491  000.16829731 
111  53.31001165  000.16907891 
111  53.31039242  000.16944475 
111  53.31030425  000.16878377 
111  53.31021334  000.16903653 
111  53.31004556  000.16884634 
111  53.31000689  000.16850937 
111  53.31009828  000.16821243 
113  53.31024238  000.16833675 
110   2 0.00   0.00 New Taxiway 32
111  53.31038410  000.16825048 
111  53.31044985  000.16808262 
111  53.31040848  000.16776141 
113  53.31030542  000.16766989 
110   2 0.00   0.00 New Taxiway 31
111  53.31055012  000.16884393 
111  53.31045465  000.16876201 
111  53.31053836  000.16936626 
113  53.31059973  000.16921907 
110   2 0.00   0.00 New Taxiway 30
111  53.31140887  000.17927907 
111  53.31146619  000.17926644 
111  53.31144651  000.17905698 
111  53.31141265  000.17871336 
111  53.31150455  000.17848647 
111  53.31164019  000.17859401 
111  53.31154739  000.17792886 
111  53.31146172  000.17811056 
111  53.31130556  000.17799904 
111  53.31125739  000.17763605 
111  53.31135701  000.17738072 
111  53.31149561  000.17751903 
111  53.31139689  000.17679524 
111  53.31117287  000.17741480 
111  53.31128226  000.17824749 
111  53.31135340  000.17831273 
111  53.31136292  000.17840077 
113  53.31133494  000.17852437 
110   1 0.00   0.00 New Taxiway 29
111  53.31199541  000.17847904 
111  53.31204202  000.17883088 
111  53.31144651  000.17905698 
